Yeovilton
Location: 355100E 123200N, Lat 51.006 Lon -2.641, 20 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1979   6   18     9       0    48     ---
   1979   7   21    11       0    39     ---
   1979   8   19    10       0    76     ---
   1979   9   18     8       0    20     ---
   1979  10   15     7       0    64     ---
   1979  11   11     3       9    47     ---
   1979  12    9     3       9   136     ---
   1980   1    5     2      24    69     ---
   1980   2   10     3       4    86     ---
   1980   3    8     1       6   113     ---
   1980   4   13     4       6    28     ---
   1980   5   17     5       0    36     ---
   1980   6   18     9       0   139     ---
   1980   7   18    10       0    58     ---
   1980   8   20    11       0    29     ---
   1980   9   19    11       0    69     ---
   1980  10   13     5       3    69     ---
   1980  11    9     3       6    31     ---
   1980  12    9     2      10    47     ---
   1981   1    8     1      11    37     ---
   1981   2    7     0      17    38     ---
   1981   3   11     6       3    75     ---
   1981   4   13     3       3    23     ---
   1981   5   15     7       1    78     ---
   1981   6   17     9       0    39     ---
   1981   7   20    12       0    50     ---
   1981   8   21    11       0    22     ---
   1981   9   19     9       0   115     ---
   1981  10   12     5       3    62     ---
   1981  11   11     4       7    39     ---
   1981  12    5     1      16   147     ---
   1982   1    7     0      11    34     ---
   1982   2    8     2       6    42     ---
   1982   3   10     1      10    89     ---
   1982   4   14     3       4    18     ---
   1982   5   17     6       1    21     ---
   1982   6   20    11       0    97     ---
   1982   7   21    12       0    85     ---
   1982   8   20    11       0    46     ---
   1982   9   19    10       0    57     ---
   1982  10   14     6       1   106     ---
   1982  11   11     5       4   110     ---
   1982  12    8     1      12    82     ---
   1983   1   10     4       3    71     ---
   1983   2    5     0      17    14     ---
   1983   3   10     2       8    42     ---
   1983   4   11     2       5    77     ---
   1983   5   14     6       0    82     ---
   1983   6   19    10       0    33     ---
   1983   7   26    13       0    14     ---
   1983   8   24    12       0    29     ---
   1983   9   18    10       0    65     ---
   1983  10   14     6       2    56     ---
   1983  11   11     4       6    19    44.3
   1983  12    9     2       9    69    64.9
   1984   1    8     1      11   118    64.8
   1984   2    7     1       7    35    64.1
   1984   3    8     1       6    44    78.2
   1984   4   14     2       9     1   241.8
   1984   5   15     5       1    62   178.8
   1984   6   21     9       0    22   271.7
   1984   7   23    11       0    23   268.5
   1984   8   23    12       0    30   179.3
   1984   9   18    10       0    55   128.5
   1984  10   15     8       1    41    85.9
   1984  11   11     4       4   110    63.1
   1984  12    9     1      10    66    55.9
   1985   1    4     3      24    53    50.1
   1985   2    7     0      16    47    79.5
   1985   3    9     0      12    38   118.6
   1985   4   13     4       3    45   139.6
   1985   5   16     6       0    43   197.2
   1985   6   18     8       0    64   172.8
   1985   7   21    11       0    41   208.1
   1985   8   18    11       0    76   166.6
   1985   9   19    10       0    21   134.1
   1985  10   14     7       2    31    94.2
   1985  11    8     1      11    39    83.7
   1985  12   10     4       4   129    40.2
   1986   1    8     1      11    98    51.3
   1986   2    2     3      24     2    76.0
   1986   3    9     1       7    50   110.7
   1986   4   10     1       9    73   144.6
   1986   5   15     6       0    81   180.3
   1986   6   20    10       0    34   217.8
   1986   7   20    11       0    42   200.2
   1986   8   18    10       0    92   151.0
   1986   9   16     6       0    33   150.8
   1986  10   15     7       1    60   102.6
   1986  11   12     4       1    84    73.7
   1986  12   10     3      11   111    55.3
   1987   1    4     1      19    12    65.7
   1987   2    7     0      12    55    63.5
   1987   3    8     1      13    57   114.6
   1987   4   15     5       2    63   185.0
   1987   5   15     5       0    28   207.2
   1987   6   17     9       0    67   140.4
   1987   7   21    11       0    32   202.5
   1987   8   21    11       0    29   198.9
   1987   9   18    10       0    42   123.8
   1987  10   14     6       4   133   105.6
   1987  11   10     3       4    60    62.6
   1987  12    8     3       8    37    38.0
   1988   1    9     2       6   107    54.2
   1988   2    9     0      13    56   114.2
   1988   3   10     3       5    69    96.5
   1988   4   13     3       6    22   167.8
   1988   5   17     7       0    38   219.6
   1988   6   20    10       0    31   168.6
   1988   7   18    11       0   132   144.2
   1988   8   19    10       0    64   170.0
   1988   9   17    10       0    25   156.4
   1988  10   15     7       1    77   106.7
   1988  11   10     0      19    24    89.5
   1988  12   10     4       4    17    34.7
   1989   1    9     2       8    38    59.1
   1989   2   10     2       9    78    98.7
   1989   3   12     4       3    58    98.1
   1989   4   11     2       7    60   154.2
   1989   5   19     8       0    25   245.4
   1989   6   20     9       0    22   213.4
   1989   7   24    13       0    73   266.2
   1989   8   22    11       0    40   264.0
   1989   9   19    10       0    52   124.3
   1989  10   16     8       0    75    88.4
   1989  11   10     3       8    48    73.3
   1989  12    9     2       5   166    34.6
   1990   1   10     4       4   103    52.0
   1990   2   11     5       0   133    95.1
   1990   3   12     4       4    25   150.3
   1990   4   13     3       5    30   229.2
   1990   5   19     7       0     5   273.6
   1990   6   17    10       0    49   115.7
   1990   7   23    12       0    22   268.6
   1990   8   23    12       0    46   191.8
   1990   9   18     8       0    49   183.5
   1990  10   15     9       0    43    98.3
   1990  11   10     4       9    41    59.0
   1990  12    7     1      14    63    40.7
   1991   1    7     0      12    86    74.4
   1991   2    5     3      20    31    65.3
   1991   3   11     4       6    58    89.2
   1991   4   12     4       4    80   125.9
   1991   5   15     7       0    12   129.4
   1991   6   16     8       0    98   119.6
   1991   7   20    12       0    77   159.7
   1991   8   22    12       0    37   213.4
   1991   9   20    10       0    69   181.7
   1991  10   13     6       1    71    72.7
   1991  11   10     3       6    47    59.1
   1991  12    8     1      10    23    43.5
   1992   1    6     0      16    31    46.2
   1992   2    9     1       9    24    51.0
   1992   3   11     4       2    46    78.7
   1992   4   12     4       3    48   128.8
   1992   5   19     8       0    11   246.9
   1992   6   21    10       0    92   230.7
   1992   7   20    12       0    54   149.2
   1992   8   19    11       0   106   126.3
   1992   9   17    10       0   104   105.9
   1992  10   12     3       6    39    97.5
   1992  11   12     4       4    92    47.2
   1992  12    7     1      12    69    41.2
   1993   1   10     3       5   103    29.3
   1993   2    8     2       6     3    56.1
   1993   3   10     2       9    33   118.7
   1993   4   13     5       3    64    97.0
   1993   5   16     7       0    48   163.5
   1993   6   20    10       0    67   174.5
   1993   7   20    11       0    62   183.9
   1993   8   20    10       0    20   213.0
   1993   9   17     8       0   105   120.3
   1993  10   12     4       5   100   114.2
   1993  11    9     1       7    39    59.7
   1993  12    9     3       7   117    37.4
   1994   1    9     2      11    99    64.2
   1994   2    8     0      13    81    74.6
   1994   3   11     5       1    52   104.9
   1994   4   12     4       3    47   153.1
   1994   5   15     7       0    71   132.5
   1994   6   19     9       0    18   235.2
   1994   7   23    12       0    38   229.2
   1994   8   21    12       0    73   183.3
   1994   9   17     9       0    87   103.9
   1994  10   15     6       2    71   142.4
   1994  11   13     8       0    84    24.2
   1994  12   10     3       7    92    52.5
   1995   1    9     2       7   132    46.0
   1995   2   10     4       3    71    52.2
   1995   3   10     1      13    39   157.6
   1995   4   13     4       3    30   148.5
   1995   5   16     6       2    41   254.3
   1995   6   20     9       0    10   237.3
   1995   7   24    13       0    16   196.1
   1995   8   26    13       0    17   292.2
   1995   9   18     9       0    98   129.9
   1995  10   17     9       0    51   117.5
   1995  11   11     3       7    91    72.0
   1995  12    5     0      13    72    46.5
   1996   1    7     3       4    54    24.0
   1996   2    6     0      19    69    83.8
   1996   3    8     1       9    53    69.0
   1996   4   13     4       5    45   138.3
   1996   5   14     4       4    41   174.4
   1996   6   20     8       0    34   254.6
   1996   7   22    11       0    17   235.6
   1996   8   22    11       0    56   228.0
   1996   9   18     9       0    18   156.0
   1996  10   15     8       0    50   105.0
   1996  11   10     2      12   106    80.1
   1996  12    5     0      13    14    40.1
   1997   1    5     0      18     8    40.8
   1997   2   10     3       5    74    57.0
   1997   3   12     4       4    31   110.3
   1997   4   14     2       9    19   202.1
   1997   5   17     6       1    55   233.0
   1997   6   18    10       0    71   112.7
   1997   7   22    10       0    30   236.1
   1997   8   23    14       0   151   141.0
   1997   9   19     9       0    18   156.9
   1997  10   15     6       7    48   121.1
   1997  11   12     5       7   110    68.3
   1997  12    9     2      12    61    54.0
   1998   1    8     2      12    83    58.1
   1998   2   11     2       7     9    80.7
   1998   3   11     4       6    44    72.1
   1998   4   12     4       2   102   117.4
   1998   5   18     8       1    39   212.7
   1998   6   18    10       0    90   144.2
   1998   7   19    11       0    48   157.9
   1998   8   21    10       0    24   243.2
   1998   9   19    11       0    80   135.0
   1998  10   14     7       1   135    91.0
